subregion,n_catchments,n_nbs_top50,n_hu_top50,n_tr_top50,n_cl_top50,pct_nbs_top50,pct_hu_top50,pct_tr_top50,pct_cl_top50,total_service_top50
BUSOGA,21,12,13,14,11,0.5714285714285714,0.6190476190476191,0.6666666666666666,0.5238095238095238,50
TESO,18,11,10,9,11,0.6111111111111112,0.5555555555555556,0.5,0.6111111111111112,41
ACHOLI,15,11,11,9,7,0.7333333333333333,0.7333333333333333,0.6,0.4666666666666667,38
LANGO,14,11,10,10,3,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.21428571428571427,34
BUKEDI,15,4,3,5,5,0.26666666666666666,0.2,0.3333333333333333,0.3333333333333333,17
CENTRAL II,30,1,1,1,7,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.23333333333333334,10
KARAMOJA,7,0,1,1,3,0,0.14285714285714285,0.14285714285714285,0.42857142857142855,5
BUNYORO,14,0,1,1,2,0,0.07142857142857142,0.07142857142857142,0.14285714285714285,4
WEST NILE,15,0,0,0,1,0,0,0,0.06666666666666667,1
ANKOLE,34,0,0,0,0,0,0,0,0,0
BUGISU_SEBEI,12,0,0,0,0,0,0,0,0,0
CENTRAL I,21,0,0,0,0,0,0,0,0,0
GREATER KAMPALA,26,0,0,0,0,0,0,0,0,0
KIGEZI,17,0,0,0,0,0,0,0,0,0
TORO,21,0,0,0,0,0,0,0,0,0
