subregion,n_catchments,hidden_burden_catchments,pct_hidden_burden_catchments,pw_mean_corisk,pw_mean_service_deficit,mean_oe_admissions,mean_oe_deaths
BUSOGA,21,14,0.6666666666666666,0.7661265322474561,0.6075009114268702,71105.70618621654,36820.215359727335
ACHOLI,15,10,0.6666666666666666,0.8263316390447423,0.5802193263508686,51468.260890715515,40244.035186679444
TESO,18,9,0.5,0.7160606607763029,0.7070711729480487,51320.93924504724,35471.872163649976
GREATER KAMPALA,26,9,0.34615384615384615,0.4239581986577154,0.6778109925649038,164187.41693612013,57027.417592842954
CENTRAL II,30,9,0.3,0.48903634154790426,0.6438028033083315,46463.79524384059,25494.196095118812
BUKEDI,15,8,0.5333333333333333,0.6672567809221391,0.5918609733592143,84520.34524443107,48992.61439990681
LANGO,14,7,0.5,0.8349615824177581,0.6480053593013533,43486.34216071627,28285.220440655696
BUNYORO,14,5,0.35714285714285715,0.4606277636596025,0.7402435523351403,84409.00424500962,66730.03529066105
BUGISU_SEBEI,12,4,0.3333333333333333,0.47239325094334483,0.7289481427523435,57091.41043459105,37728.85741018373
KARAMOJA,7,3,0.42857142857142855,0.5969660702328524,0.8070384352248409,14513.25925162164,9530.317653533226
WEST NILE,15,3,0.2,0.41487843465425617,0.7508864043806613,153187.70406649177,85318.52055227531
ANKOLE,34,3,0.08823529411764706,0.089032307754222,0.9079236936536714,22564.216604834834,12858.80611139015
KIGEZI,17,2,0.11764705882352941,0.08028744055647397,0.8425489402692843,34780.83081174884,12556.363473130128
TORO,21,2,0.09523809523809523,0.2660172762715561,0.8143759246676315,59217.17350934262,39024.575737006955
CENTRAL I,21,2,0.09523809523809523,0.31350307993558774,0.6677752394407928,46145.879879446045,28831.897411256017
