catchment_poly_id,region,gap_cl_rank,corisk_score,access_cl,gap_cl
174,NA,1,0.905290015601075,0,0.905290015601075
148,NA,2,0.8939851445719211,0,0.8939851445719211
190,NA,3,0.8922218418944046,0,0.8922218418944046
164,NA,4,0.8871008412494894,0,0.8871008412494894
144,NA,5,0.8647456606825478,0,0.8647456606825478
175,NA,6,0.8514082845107305,0,0.8514082845107305
105,NA,7,0.8479632113070742,0,0.8479632113070742
177,NA,8,0.8322656477797696,0,0.8322656477797696
161,NA,9,0.8190055117773846,0,0.8190055117773846
162,NA,10,0.8171083148679397,0,0.8171083148679397
92,NA,11,0.8054404221619227,0,0.8054404221619227
125,NA,12,0.778567973995747,0,0.778567973995747
126,NA,13,0.774803379357127,0,0.774803379357127
78,NA,14,0.7682099605215919,0,0.7682099605215919
83,NA,15,0.7645316337526917,0,0.7645316337526917
95,NA,16,0.7615150963173326,0,0.7615150963173326
111,NA,17,0.760990851367543,0,0.760990851367543
25,NA,18,0.7583559396452199,0,0.7583559396452199
168,NA,19,0.7418731952395101,0,0.7418731952395101
135,NA,20,0.7403203373807847,0,0.7403203373807847
104,NA,21,0.7365575679609876,0,0.7365575679609876
98,NA,22,0.7294096161906987,0,0.7294096161906987
246,NA,23,0.7269579920735096,0,0.7269579920735096
136,NA,24,0.725504935166519,0,0.725504935166519
129,NA,25,0.7048884198048531,0,0.7048884198048531
90,NA,26,0.7024002580763025,0,0.7024002580763025
172,NA,27,0.6966198459290469,0,0.6966198459290469
134,NA,28,0.6760233308416241,0,0.6760233308416241
140,NA,29,0.6729824385886609,0,0.6729824385886609
94,NA,30,0.6726924418766224,0,0.6726924418766224
130,NA,31,0.6700010954284896,0,0.6700010954284896
93,NA,32,0.6547402127253656,0,0.6547402127253656
143,NA,33,0.6502425408771383,0,0.6502425408771383
171,NA,34,0.6499253978851742,0,0.6499253978851742
185,NA,35,0.6444865853755214,0,0.6444865853755214
61,NA,36,0.6437964310172052,0,0.6437964310172052
138,NA,37,0.6432830659447222,0,0.6432830659447222
96,NA,38,0.6340803152964822,0,0.6340803152964822
255,NA,39,0.6291723564013438,0,0.6291723564013438
84,NA,40,0.6283672441240228,0,0.6283672441240228
26,NA,41,0.6253533139385922,0,0.6253533139385922
62,NA,42,0.6182831922047529,0,0.6182831922047529
183,NA,43,0.6181265277375928,0,0.6181265277375928
139,NA,44,0.612392643657976,0,0.612392643657976
97,NA,45,0.6114675877830663,0,0.6114675877830663
100,NA,46,0.6096788188952518,0,0.6096788188952518
34,NA,47,0.6065672492252114,0,0.6065672492252114
5,NA,48,0.6017643916475552,0,0.6017643916475552
99,NA,49,0.5968050914790408,0,0.5968050914790408
60,NA,50,0.5904965570006799,0,0.5904965570006799
