catchment_poly_id,region,gap_hu_rank,corisk_score,access_hu,gap_hu
163,NA,1,0.9335513132453273,0,0.9335513132453273
189,NA,2,0.9300259193195259,0,0.9300259193195259
170,NA,3,0.9268102498811326,0,0.9268102498811326
178,NA,4,0.9221189523545966,0,0.9221189523545966
174,NA,5,0.905290015601075,0,0.905290015601075
148,NA,6,0.8939851445719211,0,0.8939851445719211
188,NA,7,0.8927352469854866,0,0.8927352469854866
190,NA,8,0.8922218418944046,0,0.8922218418944046
164,NA,9,0.8871008412494894,0,0.8871008412494894
123,NA,10,0.8827195153072018,0,0.8827195153072018
191,NA,11,0.869223556389303,0,0.869223556389303
144,NA,12,0.8647456606825478,0,0.8647456606825478
175,NA,13,0.8514082845107305,0,0.8514082845107305
105,NA,14,0.8479632113070742,0,0.8479632113070742
115,NA,15,0.8356135191480458,0,0.8356135191480458
187,NA,16,0.8331455697423206,0,0.8331455697423206
177,NA,17,0.8322656477797696,0,0.8322656477797696
103,NA,18,0.8217237431650826,0,0.8217237431650826
161,NA,19,0.8190055117773846,0,0.8190055117773846
160,NA,20,0.8187211695590787,0,0.8187211695590787
162,NA,21,0.8171083148679397,0,0.8171083148679397
152,NA,22,0.8157007826096898,0,0.8157007826096898
92,NA,23,0.8054404221619227,0,0.8054404221619227
118,NA,24,0.7924979852597125,0,0.7924979852597125
125,NA,25,0.778567973995747,0,0.778567973995747
101,NA,26,0.7751974467295566,0,0.7751974467295566
126,NA,27,0.774803379357127,0,0.774803379357127
79,NA,28,0.7682779772784709,0,0.7682779772784709
78,NA,29,0.7682099605215919,0,0.7682099605215919
83,NA,30,0.7645316337526917,0,0.7645316337526917
95,NA,31,0.7615150963173326,0,0.7615150963173326
111,NA,32,0.760990851367543,0,0.760990851367543
25,NA,33,0.7583559396452199,0,0.7583559396452199
176,NA,34,0.7565546734979465,0,0.7565546734979465
113,NA,35,0.7458809810241913,0,0.7458809810241913
168,NA,36,0.7418731952395101,0,0.7418731952395101
135,NA,37,0.7403203373807847,0,0.7403203373807847
104,NA,38,0.7365575679609876,0,0.7365575679609876
98,NA,39,0.7294096161906987,0,0.7294096161906987
246,NA,40,0.7269579920735096,0,0.7269579920735096
136,NA,41,0.725504935166519,0,0.725504935166519
108,NA,42,0.7248463177562446,0,0.7248463177562446
173,NA,43,0.7172576896385545,0,0.7172576896385545
124,NA,44,0.7076322134073321,0,0.7076322134073321
129,NA,45,0.7048884198048531,0,0.7048884198048531
90,NA,46,0.7024002580763025,0,0.7024002580763025
172,NA,47,0.6966198459290469,0,0.6966198459290469
127,NA,48,0.6795155216172297,0,0.6795155216172297
134,NA,49,0.6760233308416241,0,0.6760233308416241
109,NA,50,0.6754216758857193,0,0.6754216758857193
