catchment_poly_id,region,gap_tr_rank,corisk_score,access_tr,gap_tr
163,NA,1,0.9335513132453273,0,0.9335513132453273
189,NA,2,0.9300259193195259,0,0.9300259193195259
170,NA,3,0.9268102498811326,0,0.9268102498811326
178,NA,4,0.9221189523545966,0,0.9221189523545966
174,NA,5,0.905290015601075,0,0.905290015601075
148,NA,6,0.8939851445719211,0,0.8939851445719211
190,NA,7,0.8922218418944046,0,0.8922218418944046
123,NA,8,0.8827195153072018,0,0.8827195153072018
191,NA,9,0.869223556389303,0,0.869223556389303
105,NA,10,0.8479632113070742,0,0.8479632113070742
115,NA,11,0.8356135191480458,0,0.8356135191480458
187,NA,12,0.8331455697423206,0,0.8331455697423206
149,NA,13,0.8191751174072883,0,0.8191751174072883
160,NA,14,0.8187211695590787,0,0.8187211695590787
152,NA,15,0.8157007826096898,0,0.8157007826096898
92,NA,16,0.8054404221619227,0,0.8054404221619227
118,NA,17,0.7924979852597125,0,0.7924979852597125
101,NA,18,0.7751974467295566,0,0.7751974467295566
126,NA,19,0.774803379357127,0,0.774803379357127
78,NA,20,0.7682099605215919,0,0.7682099605215919
83,NA,21,0.7645316337526917,0,0.7645316337526917
111,NA,22,0.760990851367543,0,0.760990851367543
25,NA,23,0.7583559396452199,0,0.7583559396452199
176,NA,24,0.7565546734979465,0,0.7565546734979465
168,NA,25,0.7418731952395101,0,0.7418731952395101
110,NA,26,0.7409313571660152,0,0.7409313571660152
104,NA,27,0.7365575679609876,0,0.7365575679609876
89,NA,28,0.7316973996669736,0,0.7316973996669736
108,NA,29,0.7248463177562446,0,0.7248463177562446
131,NA,30,0.7223865209764031,0,0.7223865209764031
173,NA,31,0.7172576896385545,0,0.7172576896385545
124,NA,32,0.7076322134073321,0,0.7076322134073321
90,NA,33,0.7024002580763025,0,0.7024002580763025
172,NA,34,0.6966198459290469,0,0.6966198459290469
127,NA,35,0.6795155216172297,0,0.6795155216172297
134,NA,36,0.6760233308416241,0,0.6760233308416241
109,NA,37,0.6754216758857193,0,0.6754216758857193
94,NA,38,0.6726924418766224,0,0.6726924418766224
130,NA,39,0.6700010954284896,0,0.6700010954284896
159,NA,40,0.65794551818057,0,0.65794551818057
93,NA,41,0.6547402127253656,0,0.6547402127253656
150,NA,42,0.6509212854616104,0,0.6509212854616104
171,NA,43,0.6499253978851742,0,0.6499253978851742
151,NA,44,0.6469118280093483,0,0.6469118280093483
138,NA,45,0.6432830659447222,0,0.6432830659447222
80,NA,46,0.6386760538438494,0,0.6386760538438494
96,NA,47,0.6340803152964822,0,0.6340803152964822
255,NA,48,0.6291723564013438,0,0.6291723564013438
84,NA,49,0.6283672441240228,0,0.6283672441240228
139,NA,50,0.612392643657976,0,0.612392643657976
