catchment_poly_id,region,population_analysis,corisk_score,service_deficit_std,coverage_need_gap,population_priority_score,programme_priority_type
123,NA,390555.0962284673,0.8827195153072018,0.75,0.6327195153072018,247111.8311864334,Lower immediate priority
240,NA,547395.6122821951,0.4023201392082906,1,0.4023201392082906,220228.2789353802,Lower immediate priority
24,NA,502696.7896107435,0.3975079826392063,1,0.3975079826392063,199825.98671737217,Lower immediate priority
75,NA,493041.955076471,0.39079560710926403,1,0.39079560710926403,192678.63016444797,Lower immediate priority
78,NA,240096.85985922534,0.7682099605215919,1,0.7682099605215919,184444.79923381368,Lower immediate priority
74,NA,385710.9172918834,0.47404627712513775,1,0.47404627712513775,182844.82438873925,Lower immediate priority
83,NA,232387.73526957352,0.7645316337526917,1,0.7645316337526917,177667.77490973508,Lower immediate priority
250,NA,533725.0268815057,0.3168043266854696,1,0.3168043266854696,169086.39777637957,Co-risk surveillance priority
122,NA,296839.3624106748,0.5599266901375314,1,0.5599266901375314,166208.2816971443,Lower immediate priority
177,NA,274206.821191309,0.8322656477797696,0.75,0.5822656477797696,159661.212366589,Access strengthening priority
129,NA,319686.27198362723,0.7048884198048531,0.75,0.45488841980485306,145421.58309593666,Lower immediate priority
174,NA,156094.5148639055,0.905290015601075,1,0.905290015601075,141310.80579638726,Lower immediate priority
241,NA,392256.1616540309,0.3527623802995037,1,0.3527623802995037,138373.21727222286,Co-risk surveillance priority
164,NA,214299.49243328115,0.8871008412494894,0.75,0.6371008412494894,136530.386908582,Access strengthening priority
104,NA,175911.46282828785,0.7365575679609876,1,0.7365575679609876,129568.91923726337,Lower immediate priority
189,NA,190269.2443063599,0.9300259193195259,0.75,0.6800259193195259,129388.01777766387,Access strengthening priority
115,NA,220914.7804617416,0.8356135191480458,0.75,0.5856135191480458,129370.68201801846,Lower immediate priority
101,NA,245685.21415109374,0.7751974467295566,0.75,0.5251974467295566,129033.24717135876,Lower immediate priority
53,NA,261665.28011166397,0.487246020851617,1,0.487246020851617,127495.36652943202,Lower immediate priority
124,NA,275848.1664787056,0.7076322134073321,0.75,0.45763221340733207,126237.00699000426,Lower immediate priority
136,NA,245614.62267017597,0.725504935166519,0.75,0.47550493516651904,116790.96522873106,Lower immediate priority
85,NA,278405.98583645,0.410381399553322,1,0.410381399553322,114252.63811158469,Lower immediate priority
84,NA,180911.58084749524,0.6283672441240228,1,0.6283672441240228,113678.91148726092,Lower immediate priority
127,NA,256532.1837280877,0.6795155216172297,0.75,0.4295155216172297,110184.5547055766,Lower immediate priority
178,NA,160325.06695393426,0.9221189523545966,0.75,0.6721189523545966,107757.51603725886,Access strengthening priority
88,NA,182519.63337822258,0.5860504403912019,1,0.5860504403912019,106965.71152134806,Lower immediate priority
111,NA,139902.68643036485,0.760990851367543,1,0.760990851367543,106464.66445524975,Lower immediate priority
105,NA,177864.9454817148,0.8479632113070742,0.75,0.5979632113070742,106356.69397920386,Lower immediate priority
92,NA,129830.91072334349,0.8054404221619227,1,0.8054404221619227,104571.06354267668,Lower immediate priority
95,NA,194927.05143273063,0.7615150963173326,0.75,0.5115150963173326,99708.12948846686,Lower immediate priority
162,NA,175734.22528384253,0.8171083148679397,0.75,0.5671083148679397,99660.34036534281,Lower immediate priority
48,NA,267255.17477758415,0.3709614553029498,1,0.3709614553029498,99141.36857273683,Co-risk surveillance priority
98,NA,206733.42170552164,0.7294096161906987,0.75,0.47940961619069866,99109.99035363398,Lower immediate priority
156,NA,269860.2410508003,0.365156015427056,1,0.365156015427056,98541.0903442951,Co-risk surveillance priority
69,NA,242150.00772008393,0.4042108924658547,1,0.4042108924658547,97879.67073114873,Lower immediate priority
206,NA,206958.8138900902,0.4696534345817382,1,0.4696534345817382,97198.91776044361,Lower immediate priority
35,NA,166371.28573515033,0.5810942890440041,1,0.5810942890440041,96677.40400160404,Lower immediate priority
90,NA,136496.34214068856,0.7024002580763025,1,0.7024002580763025,95875.06594609092,Lower immediate priority
71,NA,427483.36176017206,0.46728014104199445,0.75,0.21728014104199445,92883.64513635612,Lower immediate priority
208,NA,163382.87583731674,0.5559808365658853,1,0.5559808365658853,90837.74798857151,Lower immediate priority
242,NA,262964.4428091757,0.343846375988792,1,0.343846375988792,90419.370673847,Co-risk surveillance priority
228,NA,360714.26037890464,0.2505689193773123,1,0.2505689193773123,90383.7824271286,Co-risk surveillance priority
97,NA,145573.73444908857,0.6114675877830663,1,0.6114675877830663,89013.62024815685,Lower immediate priority
117,NA,168923.74328018352,0.5095534432234168,1,0.5095534432234168,86075.67503060603,Lower immediate priority
93,NA,128364.51619489118,0.6547402127253656,1,0.6547402127253656,84045.4106398317,Lower immediate priority
171,NA,128740.3460780289,0.6499253978851742,1,0.6499253978851742,83671.62064863797,Lower immediate priority
139,NA,133065.50752461143,0.612392643657976,1,0.612392643657976,81488.33793268709,Lower immediate priority
54,NA,249843.23867486417,0.5759962417359408,0.75,0.3259962417359408,81447.95683114136,Lower immediate priority
137,NA,135823.32866207696,0.5898288033759443,1,0.5898288033759443,80112.51141529046,Lower immediate priority
33,NA,138168.64851845987,0.5534102997683967,1,0.5534102997683967,76463.95319519512,Lower immediate priority
