catchment_poly_id,region,cl_priority_rank,sv_cl,corisk_score,service_deficit_std,access_cl,scd_admissions,scd_deaths
174,NA,1,0.905290015601075,0.905290015601075,1,0,0,0
148,NA,2,0.8939851445719211,0.8939851445719211,1,0,0,0
190,NA,3,0.8922218418944046,0.8922218418944046,1,0,0,0
164,NA,4,0.8871008412494894,0.8871008412494894,0.75,0,2371,11
144,NA,5,0.8647456606825478,0.8647456606825478,0.5,0,556,5
175,NA,6,0.8514082845107305,0.8514082845107305,0.75,0,3698,26
105,NA,7,0.8479632113070742,0.8479632113070742,0.75,0,0,0
177,NA,8,0.8322656477797696,0.8322656477797696,0.75,0,1818,3
161,NA,9,0.8190055117773846,0.8190055117773846,0.75,0,39,0
162,NA,10,0.8171083148679397,0.8171083148679397,0.75,0,4585,74
92,NA,11,0.8054404221619227,0.8054404221619227,1,0,0,0
125,NA,12,0.778567973995747,0.778567973995747,0.75,0,307,3
126,NA,13,0.774803379357127,0.774803379357127,1,0,0,0
78,NA,14,0.7682099605215919,0.7682099605215919,1,0,0,0
83,NA,15,0.7645316337526917,0.7645316337526917,1,0,0,0
95,NA,16,0.7615150963173326,0.7615150963173326,0.75,0,78,3
111,NA,17,0.760990851367543,0.760990851367543,1,0,0,0
25,NA,18,0.7583559396452199,0.7583559396452199,1,0,0,0
168,NA,19,0.7418731952395101,0.7418731952395101,1,0,0,0
135,NA,20,0.7403203373807847,0.7403203373807847,0.75,0,67,0
104,NA,21,0.7365575679609876,0.7365575679609876,1,0,0,0
98,NA,22,0.7294096161906987,0.7294096161906987,0.75,0,54,0
246,NA,23,0.7269579920735096,0.7269579920735096,0.5,0,727,19
136,NA,24,0.725504935166519,0.725504935166519,0.75,0,1167,61
129,NA,25,0.7048884198048531,0.7048884198048531,0.75,0,579,11
90,NA,26,0.7024002580763025,0.7024002580763025,1,0,0,0
172,NA,27,0.6966198459290469,0.6966198459290469,1,0,0,0
134,NA,28,0.6760233308416241,0.6760233308416241,1,0,0,0
140,NA,29,0.6729824385886609,0.6729824385886609,0.75,0,57,2
94,NA,30,0.6726924418766224,0.6726924418766224,1,0,0,0
130,NA,31,0.6700010954284896,0.6700010954284896,1,0,0,0
93,NA,32,0.6547402127253656,0.6547402127253656,1,0,0,0
143,NA,33,0.6502425408771383,0.6502425408771383,0.75,0,261,0
171,NA,34,0.6499253978851742,0.6499253978851742,1,0,0,0
185,NA,35,0.6444865853755214,0.6444865853755214,0.75,0,1041,2
61,NA,36,0.6437964310172052,0.6437964310172052,0.75,0,13,0
138,NA,37,0.6432830659447222,0.6432830659447222,1,0,0,0
96,NA,38,0.6340803152964822,0.6340803152964822,1,0,0,0
255,NA,39,0.6291723564013438,0.6291723564013438,1,0,0,0
84,NA,40,0.6283672441240228,0.6283672441240228,1,0,0,0
26,NA,41,0.6253533139385922,0.6253533139385922,0.5,0,71,0
62,NA,42,0.6182831922047529,0.6182831922047529,0.5,0,304,2
183,NA,43,0.6181265277375928,0.6181265277375928,0.5,0,197,5
139,NA,44,0.612392643657976,0.612392643657976,1,0,0,0
97,NA,45,0.6114675877830663,0.6114675877830663,1,0,0,0
100,NA,46,0.6096788188952518,0.6096788188952518,0.5,0,864,11
34,NA,47,0.6065672492252114,0.6065672492252114,1,0,0,0
5,NA,48,0.6017643916475552,0.6017643916475552,0.75,0,199,4
99,NA,49,0.5968050914790408,0.5968050914790408,1,0,0,0
60,NA,50,0.5904965570006799,0.5904965570006799,1,0,0,0
