catchment_poly_id,region,tr_priority_rank,sv_tr,corisk_score,service_deficit_std,access_tr,scd_admissions,scd_deaths
163,NA,1,0.9335513132453273,0.9335513132453273,0.75,0,0,0
189,NA,2,0.9300259193195259,0.9300259193195259,0.75,0,0,0
170,NA,3,0.9268102498811326,0.9268102498811326,0.75,0,0,0
178,NA,4,0.9221189523545966,0.9221189523545966,0.75,0,0,0
174,NA,5,0.905290015601075,0.905290015601075,1,0,0,0
148,NA,6,0.8939851445719211,0.8939851445719211,1,0,0,0
190,NA,7,0.8922218418944046,0.8922218418944046,1,0,0,0
123,NA,8,0.8827195153072018,0.8827195153072018,0.75,0,0,0
191,NA,9,0.869223556389303,0.869223556389303,0.75,0,0,0
105,NA,10,0.8479632113070742,0.8479632113070742,0.75,0,0,0
115,NA,11,0.8356135191480458,0.8356135191480458,0.75,0,0,0
187,NA,12,0.8331455697423206,0.8331455697423206,0.75,0,0,0
149,NA,13,0.8191751174072883,0.8191751174072883,0.5,0,0,0
160,NA,14,0.8187211695590787,0.8187211695590787,0.75,0,0,0
152,NA,15,0.8157007826096898,0.8157007826096898,0.75,0,0,0
92,NA,16,0.8054404221619227,0.8054404221619227,1,0,0,0
118,NA,17,0.7924979852597125,0.7924979852597125,0.5,0,0,0
101,NA,18,0.7751974467295566,0.7751974467295566,0.75,0,0,0
126,NA,19,0.774803379357127,0.774803379357127,1,0,0,0
78,NA,20,0.7682099605215919,0.7682099605215919,1,0,0,0
83,NA,21,0.7645316337526917,0.7645316337526917,1,0,0,0
111,NA,22,0.760990851367543,0.760990851367543,1,0,0,0
25,NA,23,0.7583559396452199,0.7583559396452199,1,0,0,0
176,NA,24,0.7565546734979465,0.7565546734979465,0.75,0,0,0
168,NA,25,0.7418731952395101,0.7418731952395101,1,0,0,0
110,NA,26,0.7409313571660152,0.7409313571660152,0.25,0,4387,21
104,NA,27,0.7365575679609876,0.7365575679609876,1,0,0,0
89,NA,28,0.7316973996669736,0.7316973996669736,0.5,0,0,0
108,NA,29,0.7248463177562446,0.7248463177562446,0.75,0,0,0
131,NA,30,0.7223865209764031,0.7223865209764031,0.5,0,0,0
173,NA,31,0.7172576896385545,0.7172576896385545,0.75,0,0,0
124,NA,32,0.7076322134073321,0.7076322134073321,0.75,0,0,0
90,NA,33,0.7024002580763025,0.7024002580763025,1,0,0,0
172,NA,34,0.6966198459290469,0.6966198459290469,1,0,0,0
127,NA,35,0.6795155216172297,0.6795155216172297,0.75,0,0,0
134,NA,36,0.6760233308416241,0.6760233308416241,1,0,0,0
109,NA,37,0.6754216758857193,0.6754216758857193,0.75,0,0,0
94,NA,38,0.6726924418766224,0.6726924418766224,1,0,0,0
130,NA,39,0.6700010954284896,0.6700010954284896,1,0,0,0
159,NA,40,0.65794551818057,0.65794551818057,0.5,0,0,0
93,NA,41,0.6547402127253656,0.6547402127253656,1,0,0,0
150,NA,42,0.6509212854616104,0.6509212854616104,0.5,0,0,0
171,NA,43,0.6499253978851742,0.6499253978851742,1,0,0,0
151,NA,44,0.6469118280093483,0.6469118280093483,0.75,0,0,0
138,NA,45,0.6432830659447222,0.6432830659447222,1,0,0,0
80,NA,46,0.6386760538438494,0.6386760538438494,0.5,0,0,0
96,NA,47,0.6340803152964822,0.6340803152964822,1,0,0,0
255,NA,48,0.6291723564013438,0.6291723564013438,1,0,0,0
84,NA,49,0.6283672441240228,0.6283672441240228,1,0,0,0
139,NA,50,0.612392643657976,0.612392643657976,1,0,0,0
